Datum,Super,E10,Diesel
2022-07-14 21:24:32,1.76,1.7,1.89
2022-07-14 22:22:41,1.76,1.7,1.89
2022-07-15 05:43:22,1.82,1.8,1.94
2022-07-15 08:53:21,1.782,1.722,1.942
2022-07-15 09:15:54,1.772,1.712,1.942
2022-07-15 10:15:56,1.762,1.702,1.882
2022-07-15 11:15:58,1.742,1.682,1.882
2022-07-15 12:16:01,1.742,1.682,1.882
2022-07-15 13:16:03,1.742,1.682,1.842
2022-07-15 14:16:05,1.742,1.682,1.842
2022-07-15 15:16:07,1.742,1.682,1.842
2022-07-15 16:16:10,1.742,1.682,1.852
2022-07-16 08:09:32,1.732,1.672,1.862
2022-07-16 09:09:34,1.732,1.672,1.862
2022-07-16 10:09:36,1.732,1.672,1.862
2022-07-16 11:09:39,1.732,1.672,1.862
2022-07-16 12:09:41,1.732,1.672,1.862
2022-07-16 13:09:43,1.732,1.672,1.862
2022-07-16 14:09:45,1.732,1.712,1.862
2022-07-20 10:18:56,1.762,1.701,1.916
2022-07-20 11:18:59,1.762,1.701,1.916
2022-07-20 12:19:01,1.752,1.69,1.916
2022-07-20 13:19:03,1.752,1.69,1.895
2022-07-20 14:19:06,1.762,1.701,1.895
2022-07-20 15:19:08,1.762,1.701,1.895
2022-07-20 16:19:10,1.762,1.701,1.895
2022-07-20 17:19:13,1.752,1.69,1.895
2022-07-20 17:35:04,1.752,1.69,1.895
2022-07-20 18:35:07,1.752,1.69,1.895
2022-07-20 19:35:09,1.752,1.69,1.895
2022-07-20 20:35:11,1.772,1.711,1.916
2022-07-20 20:50:17,1.772,1.711,1.916
2022-07-20 21:05:28,1.772,1.711,1.916
2022-07-20 22:05:30,1.772,1.711,1.916
2022-07-20 23:05:32,1.834,1.772,2.008
2022-07-21 00:05:34,1.834,1.772,2.008
2022-07-21 01:05:36,1.834,1.772,2.008
2022-07-21 02:05:38,1.834,1.772,2.008
2022-07-21 03:05:41,1.783,1.721,1.926
2022-07-21 04:05:43,1.772,1.711,1.916
2022-07-21 05:05:45,1.926,1.906,2.029
2022-07-21 06:05:48,1.926,1.906,2.029
2022-07-21 07:05:51,1.824,1.762,1.998
2022-07-21 08:05:54,1.816,1.795,1.958
2022-07-21 09:05:57,1.816,1.785,1.958
2022-07-21 09:51:17,1.754,1.693,1.918
2022-07-21 10:51:19,1.754,1.734,1.907
2022-07-21 11:51:22,1.754,1.724,1.907
2022-07-21 12:51:24,1.754,1.693,1.907
2022-07-21 13:51:26,1.754,1.714,1.897
2022-07-21 14:51:29,1.744,1.683,1.897
2022-07-21 15:51:31,1.754,1.693,1.897
2022-07-21 16:51:33,1.734,1.673,1.897
2022-07-21 17:51:35,1.744,1.683,1.897
2022-07-21 18:51:38,1.734,1.673,1.897
2022-07-21 19:51:41,1.734,1.673,1.897
2022-07-21 20:51:44,1.754,1.693,1.897
2022-07-21 21:51:46,1.754,1.693,1.897
2022-07-21 22:51:49,1.816,1.754,1.989
2022-07-21 23:51:52,1.816,1.754,1.989
2022-07-22 00:51:55,1.816,1.754,1.989
2022-07-22 01:51:59,1.816,1.754,1.989
2022-07-22 02:52:02,1.816,1.754,1.989
2022-07-22 03:52:05,1.754,1.693,1.907
2022-07-22 04:52:10,1.754,1.734,1.907
2022-07-22 06:01:57,1.754,1.724,1.907
2022-07-22 06:46:46,1.744,1.683,1.907
2022-07-22 07:46:49,1.745,1.724,1.908
2022-07-22 08:46:51,1.745,1.724,1.908
2022-07-22 09:46:53,1.745,1.704,1.908
2022-07-22 10:46:55,1.745,1.694,1.908
2022-07-22 11:48:09,1.734,1.673,1.908
2022-07-22 12:48:11,1.724,1.663,1.908
2022-07-22 13:48:14,1.734,1.673,1.898
2022-07-22 14:48:17,1.724,1.663,1.877
2022-07-22 15:48:20,1.734,1.673,1.898
2022-07-22 16:48:23,1.714,1.653,1.877
2022-07-22 17:48:25,1.724,1.663,1.898
2022-07-22 18:48:27,1.714,1.653,1.877
2022-07-22 19:48:30,1.714,1.653,1.877
2022-07-22 20:48:33,1.734,1.673,1.898
2022-07-22 21:48:36,1.734,1.673,1.898
2022-07-22 22:48:38,1.745,1.683,1.898
2022-07-22 23:48:41,1.745,1.683,1.898
2022-07-23 00:48:43,1.745,1.683,1.898
2022-07-23 01:48:46,1.806,1.745,1.979
2022-07-23 02:48:48,1.806,1.745,1.979
2022-07-23 03:48:51,1.806,1.745,1.979
2022-07-23 04:48:53,1.806,1.755,1.979
2022-07-23 05:48:56,1.806,1.785,1.979
2022-07-23 06:48:59,1.724,1.663,1.898
2022-07-23 07:49:01,1.724,1.663,1.908
2022-07-23 08:49:04,1.724,1.663,1.908
2022-07-23 09:49:07,1.724,1.663,1.898
2022-07-23 10:49:09,1.724,1.663,1.908
2022-07-23 11:33:59,1.724,1.663,1.908
2022-07-23 12:34:01,1.724,1.663,1.908
2022-07-23 13:34:03,1.724,1.694,1.908
2022-07-23 14:34:06,1.724,1.673,1.908
2022-07-23 15:34:09,1.745,1.694,1.908
2022-07-23 16:34:12,1.734,1.673,1.908
2022-07-23 17:34:15,1.745,1.683,1.908
2022-07-23 18:34:17,1.734,1.673,1.908
2022-07-23 19:34:20,1.734,1.673,1.908
2022-07-23 20:34:22,1.755,1.694,1.918
2022-07-23 21:34:25,1.755,1.694,1.918
2022-07-23 22:34:27,1.755,1.694,1.918
2022-07-23 23:34:30,1.816,1.755,2.01
2022-07-24 00:34:32,1.816,1.755,2.01
2022-07-24 01:34:35,1.816,1.755,2.01
2022-07-24 02:34:38,1.816,1.755,2.01
2022-07-24 03:34:40,1.816,1.755,2.01
2022-07-24 04:34:41,1.816,1.755,2.01
2022-07-24 05:34:43,1.816,1.755,2.01
2022-07-24 06:34:46,1.734,1.673,1.908
2022-07-24 07:34:48,1.734,1.673,1.908
2022-07-24 08:34:51,1.734,1.673,1.908
2022-07-24 09:34:54,1.734,1.673,1.908
2022-07-24 10:34:56,1.724,1.663,1.908
2022-07-24 11:34:59,1.724,1.663,1.908
2022-07-24 12:35:02,1.724,1.663,1.908
2022-07-24 13:35:04,1.765,1.704,1.939
2022-07-24 14:35:07,1.755,1.694,1.918
2022-07-24 15:35:09,1.755,1.694,1.928
2022-07-24 16:35:13,1.755,1.694,1.918
2022-07-24 17:35:16,1.755,1.694,1.928
2022-07-24 18:35:19,1.755,1.694,1.918
2022-07-24 19:35:22,1.755,1.694,1.918
2022-07-24 20:35:24,1.755,1.694,1.928
2022-07-24 21:35:27,1.755,1.694,1.939
2022-07-24 22:35:30,1.755,1.694,1.939
2022-07-24 23:35:32,1.816,1.755,2.01
2022-07-25 00:35:34,1.816,1.755,2.01
2022-07-25 01:35:37,1.816,1.755,2.01
2022-07-25 02:35:41,1.816,1.755,2.01
2022-07-25 03:35:44,1.755,1.694,1.928
2022-07-25 04:35:46,1.796,1.745,1.939
2022-07-25 05:35:49,1.796,1.775,1.939
2022-07-25 06:35:52,1.796,1.775,1.939
2022-07-25 07:35:53,1.794,1.743,1.926
2022-07-25 08:35:56,1.794,1.732,1.936
2022-07-25 10:05:12,1.773,1.712,1.926
2022-07-25 11:05:14,1.783,1.722,1.936
2022-07-25 12:05:16,1.753,1.692,1.916
2022-07-25 13:05:19,1.743,1.681,1.916
2022-07-25 14:05:20,1.773,1.712,1.947
2022-07-25 15:05:22,1.732,1.671,1.896
2022-07-25 16:05:25,1.743,1.681,1.916
2022-07-25 17:05:27,1.722,1.661,1.885
2022-07-25 18:05:28,1.722,1.661,1.906
2022-07-25 19:05:31,1.712,1.651,1.885
2022-07-25 20:05:33,1.732,1.681,1.906
2022-07-25 21:05:35,1.732,1.681,1.906
2022-07-25 22:05:37,1.743,1.681,1.926
2022-07-25 23:05:39,1.794,1.732,1.987
2022-07-26 00:05:42,1.794,1.732,1.987
2022-07-26 01:05:44,1.794,1.732,1.987
2022-07-26 02:05:47,1.794,1.732,1.987
2022-07-26 03:05:49,1.743,1.681,1.906
2022-07-26 04:05:51,1.743,1.681,1.906
2022-07-26 05:05:53,1.916,1.865,1.987
2022-07-26 06:05:55,1.916,1.865,1.987
2022-07-26 07:05:57,1.783,1.722,1.906
2022-07-26 08:05:59,1.786,1.756,1.909
2022-07-26 09:06:01,1.766,1.704,1.899
2022-07-26 10:05:40,1.735,1.674,1.888
2022-07-26 11:05:43,1.756,1.694,1.888
2022-07-26 12:05:45,1.735,1.674,1.868
2022-07-26 13:05:48,1.725,1.664,1.868
2022-07-26 14:05:50,1.756,1.694,1.888
2022-07-26 15:05:53,1.725,1.664,1.868
2022-07-26 16:05:56,1.745,1.684,1.888
2022-07-26 17:05:58,1.725,1.664,1.868
2022-07-26 17:51:35,1.745,1.684,1.888
2022-07-26 18:51:37,1.735,1.674,1.868
2022-07-26 19:51:40,1.725,1.664,1.868
2022-07-26 20:51:42,1.745,1.684,1.888
2022-07-26 21:51:45,1.745,1.684,1.909
2022-07-26 22:51:47,1.807,1.745,1.97
2022-07-26 23:51:50,1.807,1.745,1.97
2022-07-27 00:51:52,1.807,1.745,1.97
2022-07-27 01:51:55,1.807,1.745,1.97
2022-07-27 02:51:58,1.807,1.745,1.97
2022-07-27 03:52:00,1.745,1.684,1.909
2022-07-27 04:52:03,1.837,1.817,2.011
2022-07-27 05:52:05,1.837,1.817,2.011
2022-07-27 06:52:07,1.735,1.674,1.899
2022-07-27 07:52:10,1.772,1.711,1.934
2022-07-27 08:52:12,1.731,1.671,1.883
2022-07-27 09:52:14,1.721,1.661,1.873
2022-07-27 10:52:16,1.731,1.671,1.914
2022-07-27 11:52:19,1.731,1.671,1.883
2022-07-27 12:52:21,1.711,1.65,1.873
2022-07-27 13:52:23,1.721,1.681,1.894
2022-07-27 14:52:26,1.711,1.65,1.873
2022-07-27 15:36:55,1.721,1.671,1.894
2022-07-27 16:36:57,1.721,1.661,1.873
2022-07-27 17:37:00,1.711,1.65,1.894
2022-07-27 18:37:02,1.711,1.65,1.873
2022-07-27 19:37:05,1.711,1.65,1.873
2022-07-27 20:37:07,1.731,1.671,1.894
2022-07-27 21:37:09,1.731,1.671,1.904
2022-07-27 22:37:11,1.792,1.731,1.975
2022-07-27 23:37:14,1.792,1.731,1.975
2022-07-28 00:37:16,1.792,1.731,1.975
2022-07-28 01:37:19,1.792,1.731,1.975
2022-07-28 02:37:21,1.792,1.731,1.975
2022-07-28 03:37:25,1.742,1.681,1.894
2022-07-28 04:37:28,1.782,1.721,1.975
2022-07-28 05:37:18,1.904,1.873,2.025
2022-07-28 06:37:19,1.833,1.772,1.995
2022-07-28 07:37:22,1.777,1.715,1.92
2022-07-28 08:37:23,1.766,1.705,1.94
2022-07-28 09:37:26,1.746,1.685,1.93
2022-07-28 10:37:28,1.756,1.695,1.93
2022-07-28 11:37:31,1.756,1.695,1.93
2022-07-28 12:37:33,1.746,1.685,1.909
2022-07-28 13:37:35,1.766,1.705,1.93
2022-07-28 14:37:37,1.756,1.695,1.93
2022-07-28 15:38:11,1.766,1.705,1.93
2022-07-28 15:53:26,1.766,1.705,1.93
2022-07-28 16:53:28,1.736,1.674,1.909
2022-07-28 17:23:30,1.736,1.674,1.909
2022-07-28 18:23:33,1.736,1.674,1.909
2022-07-28 19:23:35,1.726,1.664,1.909
2022-07-28 20:23:38,1.746,1.685,1.93
2022-07-28 20:38:30,1.746,1.685,1.93
2022-07-28 21:38:33,1.746,1.685,1.93
2022-07-28 22:38:36,1.807,1.746,2.012
2022-07-28 23:38:38,1.807,1.746,2.012
2022-07-29 00:38:40,1.807,1.746,2.012
2022-07-29 01:38:42,1.807,1.746,2.012
2022-07-29 02:38:44,1.807,1.746,2.012
2022-07-29 03:38:47,1.746,1.685,1.94
2022-07-29 04:38:49,1.746,1.685,1.93
2022-07-29 05:38:51,1.777,1.756,1.94
2022-07-29 06:38:53,1.818,1.756,1.971
2022-07-29 07:38:56,1.822,1.761,1.976
2022-07-29 08:38:58,1.822,1.761,1.965
2022-07-29 09:39:00,1.761,1.699,1.925
2022-07-29 10:39:03,1.75,1.689,1.945
2022-07-29 11:39:06,1.75,1.689,1.945
2022-07-29 12:39:07,1.74,1.679,1.945
2022-07-29 13:39:10,1.771,1.709,1.945
2022-07-29 14:39:12,1.75,1.689,1.914
2022-07-29 15:39:15,1.761,1.699,1.935
2022-07-29 16:39:18,1.74,1.679,1.914
2022-07-29 17:39:21,1.74,1.679,1.935
2022-07-29 18:39:23,1.74,1.679,1.914
2022-07-29 19:39:27,1.73,1.668,1.914
2022-07-29 20:23:31,1.75,1.689,1.935
2022-07-29 21:23:33,1.761,1.699,1.935
2022-07-29 22:23:35,1.761,1.699,1.935
2022-07-29 23:23:38,1.812,1.75,2.017
2022-07-30 00:23:43,1.812,1.75,2.017
2022-07-30 01:23:48,1.812,1.75,2.017
2022-07-30 02:23:52,1.812,1.75,2.017
2022-07-30 03:23:56,1.812,1.75,2.017
2022-07-30 04:24:01,1.812,1.75,2.017
2022-07-30 05:24:06,1.761,1.699,1.935
2022-07-30 06:24:10,1.75,1.689,1.935
2022-07-30 07:24:14,1.74,1.679,1.935
2022-07-30 08:24:19,1.737,1.679,1.935
2022-07-30 09:24:24,1.737,1.679,1.935
2022-07-30 10:24:27,1.737,1.679,1.935
2022-07-30 11:24:30,1.737,1.679,1.955
2022-07-30 12:24:33,1.737,1.679,1.935
2022-07-30 13:24:37,1.73,1.668,1.935
2022-07-30 14:24:41,1.737,1.699,1.935
2022-07-30 15:24:45,1.737,1.699,1.935
2022-07-30 16:24:49,1.737,1.699,1.935
2022-07-30 17:24:53,1.737,1.689,1.935
2022-07-30 18:24:56,1.737,1.699,1.935
2022-07-30 18:38:52,1.737,1.699,1.935
2022-07-30 19:38:55,1.73,1.668,1.935
2022-07-30 20:38:57,1.75,1.689,1.955
2022-07-30 21:38:59,1.771,1.709,1.955
2022-07-30 22:39:02,1.781,1.72,1.976
